team,abbr,conference
Assumption,AMP,NEWHA
Boston College,BC,HEA
Bemidji State,BMJ,WCHA
Brown,BRN,ECAC
Boston University,BU,HEA
Holy Cross,CHC,HEA
Clarkson,CLR,ECAC
Colgate,COL,ECAC
Cornell,COR,ECAC
Dartmouth,DAR,ECAC
Delaware,DEL,AHA
Franklin Pierce,FRP,NEWHA
Harvard,HAR,ECAC
Lindenwood,LIN,AHA
Long Island,LIU,NEWHA
Mercyhurst,MCY,AHA
Minnesota,MIN,WCHA
Merrimack,MMC,HEA
Minnesota-Duluth,MND,WCHA
Maine,MNE,HEA
Minnesota State,MNS,WCHA
Northeastern,NEU,HEA
Ohio State,OSU,WCHA
Princeton,PRI,ECAC
Post,PST,NEWHA
Penn State,PSU,AHA
Providence,PVD,HEA
Quinnipiac,QPC,ECAC
Rochester,RIT,AHA
Robert Morris,RMU,AHA
Rensselaer,RPI,ECAC
St. Cloud State,SCS,WCHA
Sacred Heart,SHU,NEWHA
St. Lawrence,SLU,ECAC
St. Anselm,STA,NEWHA
Saint Michael's,STM,NEWHA
Stonehill,STO,NEWHA
St. Thomas,STT,WCHA
Syracuse,SYR,AHA
UConn,UC,HEA
New Hampshire,UNH,HEA
Union,UNI,ECAC
Vermont,UVM,HEA
Wisconsin,WIS,WCHA
Yale,YAL,ECAC
