date,away,home,away_win,home_win
2025-09-19,MND,MCY,1,0
2025-09-19,MNS,RPI,1,0
2025-09-19,LIN,SCS,0,1
2025-09-20,MND,MCY,1,0
2025-09-20,STT,PST,1,0
2025-09-20,LIN,SCS,0,1
2025-09-20,MNS,RPI,1,0
2025-09-21,STT,PST,1,0
2025-09-25,BC,MIN,0,1
2025-09-25,MND,SYR,1,0
2025-09-25,SLU,PSU,0,1
2025-09-25,MCY,UNH,1,0
2025-09-26,WIS,BMJ,1,0
2025-09-26,BC,MIN,0,1
2025-09-26,MND,SYR,1,0
2025-09-26,SLU,PSU,0,1
2025-09-26,CLR,MMC,1,0
2025-09-26,MNE,QPC,0,1
2025-09-26,SCS,UC,1,0
2025-09-26,MCY,UNH,1,0
2025-09-26,LIU,DEL,1,0
2025-09-26,FRP,UNI,0,1
2025-09-26,PST,RIT,0,1
2025-09-26,RPI,CHC,0,1
2025-09-26,STT,LIN,1,0
2025-09-26,STM,STA,0,1
2025-09-26,AMP,RMU,0,1
2025-09-27,WIS,BMJ,1,0
2025-09-27,CLR,MMC,0,1
2025-09-27,MNE,QPC,0,1
2025-09-27,SCS,UC,0,1
2025-09-27,LIU,DEL,1,0
2025-09-27,STT,LIN,1,0
2025-09-27,FRP,UNI,0,1
2025-09-27,PST,RIT,0,1
2025-09-27,STM,STA,0,1
2025-09-27,AMP,RMU,0,1
2025-09-27,RPI,CHC,0,1
2025-10-03,MNE,WIS,0,1
2025-10-03,OSU,COL,1,0
2025-10-03,MIN,BU,1,0
2025-10-03,UC,CLR,0,1
2025-10-03,PSU,UVM,1,0
2025-10-03,SLU,MCY,0,1
2025-10-03,QPC,PVD,1,0
2025-10-03,RIT,NEU,0,1
2025-10-03,SHU,RPI,1,0
2025-10-03,SYR,STO,1,0
2025-10-03,MMC,UNI,0,1
2025-10-03,UNH,AMP,1,0
2025-10-03,RMU,BMJ,0,1
2025-10-03,LIN,MNS,0,1
2025-10-04,MNE,WIS,0,1
2025-10-04,OSU,COL,1,0
2025-10-04,MIN,BU,1,0
2025-10-04,UC,CLR,1,0
2025-10-04,PSU,UVM,1,0
2025-10-04,SLU,MCY,1,0
2025-10-04,PVD,QPC,0,1
2025-10-04,RIT,NEU,0,1
2025-10-04,MMC,UNI,0.5,0.5
2025-10-04,SYR,STO,1,0
2025-10-04,CHC,DEL,1,0
2025-10-04,RPI,SHU,1,0
2025-10-04,BC,STA,1,0
2025-10-04,LIN,MNS,0,1
2025-10-04,RMU,BMJ,0,1
2025-10-04,UNH,AMP,1,0
2025-10-05,CHC,DEL,0,1
2025-10-10,BMJ,OSU,0,1
2025-10-10,SCS,MIN,0,1
2025-10-10,PSU,DEL,1,0
2025-10-10,QPC,SYR,1,0
2025-10-10,BU,COL,0,1
2025-10-10,UVM,SLU,0.5,0.5
2025-10-10,PVD,NEU,0,1
2025-10-10,STT,MNS,1,0
2025-10-10,AMP,PST,1,0
2025-10-10,STA,MNE,0,1
2025-10-10,MMC,LIN,0,1
2025-10-10,FRP,SHU,1,0
2025-10-10,CHC,BC,0,1
2025-10-10,UNH,UNI,0.5,0.5
2025-10-10,RIT,RMU,0,1
2025-10-10,LIU,STM,1,0
2025-10-11,MND,WIS,0,1
2025-10-11,BMJ,OSU,0,1
2025-10-11,MIN,SCS,1,0
2025-10-11,PSU,DEL,1,0
2025-10-11,QPC,SYR,1,0
2025-10-11,BU,COL,0,1
2025-10-11,UVM,SLU,1,0
2025-10-11,RPI,NEU,0,1
2025-10-11,MMC,LIN,1,0
2025-10-11,BC,PVD,1,0
2025-10-11,FRP,SHU,0,1
2025-10-11,STT,MNS,0,1
2025-10-11,UNH,UNI,1,0
2025-10-11,STO,STA,0,1
2025-10-11,LIU,STM,0,1
2025-10-11,RIT,RMU,1,0
2025-10-11,PST,AMP,0.5,0.5
2025-10-12,MND,WIS,0,1
2025-10-16,SLU,RIT,1,0
2025-10-16,FRP,PST,1,0
2025-10-17,UVM,WIS,0,1
2025-10-17,MNS,MND,0,1
2025-10-17,BC,COR,0,1
2025-10-17,MCY,PSU,0,1
2025-10-17,NEU,QPC,0,1
2025-10-17,COL,MNE,1,0
2025-10-17,CLR,PVD,0,1
2025-10-17,STT,SCS,0,1
2025-10-17,PRI,UC,0,1
2025-10-17,BRN,BU,1,0
2025-10-17,SLU,RIT,0,1
2025-10-17,FRP,PST,0,1
2025-10-17,STA,UNI,0,1
2025-10-17,SHU,STO,0,1
2025-10-17,SYR,DEL,1,0
2025-10-17,STM,HAR,0,1
2025-10-17,DAR,CHC,0,1
2025-10-17,RMU,YAL,0,1
2025-10-17,LIU,AMP,0,1
2025-10-18,WIS,UNI,1,0
2025-10-18,OSU,MIN,1,0
2025-10-18,MNS,MND,0,1
2025-10-18,BC,COR,0,1
2025-10-18,MCY,PSU,0,1
2025-10-18,NEU,QPC,0,1
2025-10-18,COL,MNE,0,1
2025-10-18,CLR,PVD,1,0
2025-10-18,STT,SCS,1,0
2025-10-18,PRI,UC,0,1
2025-10-18,STA,UVM,0,1
2025-10-18,SHU,STO,0,1
2025-10-18,SYR,DEL,1,0
2025-10-18,HAR,UNH,1,0
2025-10-18,RMU,YAL,0,1
2025-10-18,LIU,AMP,0,1
2025-10-18,DAR,CHC,0,1
2025-10-19,OSU,MIN,0,1
2025-10-19,MMC,BRN,0,1
2025-10-24,SCS,OSU,0,1
2025-10-24,MIN,MND,1,0
2025-10-24,COR,HAR,1,0
2025-10-24,LIN,PSU,0,1
2025-10-24,QPC,YAL,1,0
2025-10-24,UC,MCY,0.5,0.5
2025-10-24,COL,DAR,0,1
2025-10-24,CLR,UNI,1,0
2025-10-24,PVD,STT,1,0
2025-10-24,UNH,BU,0,1
2025-10-24,SYR,RIT,1,0
2025-10-24,STM,SHU,0,1
2025-10-24,RMU,DEL,1,0
2025-10-24,PRI,BRN,1,0
2025-10-24,FRP,UVM,0,1
2025-10-24,SLU,RPI,1,0
2025-10-24,PST,CHC,0,1
2025-10-24,STA,STO,0,1
2025-10-25,MNS,WIS,0,1
2025-10-25,SCS,OSU,0,1
2025-10-25,MIN,MND,1,0
2025-10-25,COR,DAR,1,0
2025-10-25,LIN,PSU,0,1
2025-10-25,QPC,BRN,0,1
2025-10-25,UC,MCY,1,0
2025-10-25,COL,HAR,1,0
2025-10-25,CLR,RPI,1,0
2025-10-25,PVD,STT,0,1
2025-10-25,PRI,YAL,0,1
2025-10-25,STM,SHU,0,1
2025-10-25,BC,MMC,1,0
2025-10-25,RMU,DEL,1,0
2025-10-25,SLU,UNI,1,0
2025-10-25,FRP,UVM,1,0
2025-10-25,RIT,SYR,1,0
2025-10-26,MNS,WIS,0,1
2025-10-26,CHC,PST,1,0
2025-10-28,SYR,COR,0,1
2025-10-31,MIN,WIS,1,0
2025-10-31,OSU,STT,1,0
2025-10-31,YAL,COR,0,1
2025-10-31,MND,SCS,1,0
2025-10-31,PSU,RMU,1,0
2025-10-31,UNI,QPC,0,1
2025-10-31,HAR,CLR,0,1
2025-10-31,BRN,COL,0.5,0.5
2025-10-31,NEU,BU,1,0
2025-10-31,BC,UVM,0,1
2025-10-31,MNE,PVD,0,1
2025-10-31,DEL,MCY,0,1
2025-10-31,LIN,RIT,1,0
2025-10-31,DAR,SLU,0,1
2025-10-31,STO,LIU,0.5,0.5
2025-10-31,RPI,PRI,0,1
2025-10-31,SHU,STA,0,1
2025-10-31,UNH,MMC,1,0
2025-10-31,AMP,FRP,1,0
2025-10-31,BMJ,MNS,0.5,0.5
2025-10-31,PST,STM,1,0
2025-11-01,MIN,WIS,0,1
2025-11-01,OSU,STT,1,0
2025-11-01,BRN,COR,0,1
2025-11-01,MND,SCS,1,0
2025-11-01,PSU,RMU,1,0
2025-11-01,RPI,QPC,0,1
2025-11-01,CHC,UC,0,1
2025-11-01,DAR,CLR,1,0
2025-11-01,YAL,COL,1,0
2025-11-01,BU,NEU,0,1
2025-11-01,DEL,MCY,0,1
2025-11-01,LIN,RIT,0,1
2025-11-01,BC,UVM,0.5,0.5
2025-11-01,STO,LIU,1,0
2025-11-01,MMC,UNH,0,1
2025-11-01,HAR,SLU,1,0
2025-11-01,UNI,PRI,0,1
2025-11-01,PST,STM,1,0
2025-11-01,MNE,PVD,0.5,0.5
2025-11-01,SHU,STA,0,1
2025-11-01,BMJ,MNS,0,1
2025-11-01,FRP,AMP,1,0
2025-11-02,UC,CHC,1,0
2025-11-04,YAL,STA,1,0
2025-11-07,SLU,QPC,0,1
2025-11-07,UC,BC,1,0
2025-11-07,UVM,NEU,0,1
2025-11-07,CLR,PRI,0,1
2025-11-07,RIT,COL,0,1
2025-11-07,STT,BMJ,1,0
2025-11-07,HAR,DAR,0.5,0.5
2025-11-07,UNI,RPI,0,1
2025-11-07,FRP,LIU,0,1
2025-11-07,BU,MNE,0,1
2025-11-07,MCY,RMU,1,0
2025-11-07,SYR,LIN,1,0
2025-11-07,PVD,UNH,0,1
2025-11-07,CHC,MMC,1,0
2025-11-07,AMP,STO,0,1
2025-11-07,STA,PST,1,0
2025-11-08,CLR,QPC,0.5,0.5
2025-11-08,BC,UC,1,0
2025-11-08,UVM,NEU,0,1
2025-11-08,RIT,COL,1,0
2025-11-08,STT,BMJ,0,1
2025-11-08,DEL,BRN,0,1
2025-11-08,STA,PST,1,0
2025-11-08,SYR,LIN,0,1
2025-11-08,UNH,PVD,0,1
2025-11-08,FRP,LIU,1,0
2025-11-08,STO,AMP,0,1
2025-11-08,DAR,HAR,0,1
2025-11-08,RPI,UNI,0,1
2025-11-08,SLU,PRI,1,0
2025-11-08,MCY,RMU,1,0
2025-11-08,BU,MNE,1,0
2025-11-08,MMC,CHC,0,1
2025-11-09,DEL,BRN,0,1
2025-11-12,SLU,CLR,0,1
2025-11-13,BU,BC,0,1
2025-11-14,WIS,SCS,1,0
2025-11-14,BMJ,MIN,0,1
2025-11-14,MNS,OSU,0,1
2025-11-14,COR,COL,0,1
2025-11-14,MND,STT,1,0
2025-11-14,SYR,PSU,0,1
2025-11-14,MMC,NEU,0,1
2025-11-14,HAR,YAL,1,0
2025-11-14,DAR,BRN,0,1
2025-11-14,RPI,RMU,1,0
2025-11-14,LIN,DEL,0,1
2025-11-14,PVD,PRI,0,1
2025-11-14,LIU,STA,0,1
2025-11-14,RIT,MCY,0,1
2025-11-14,UNH,UVM,1,0
2025-11-14,FRP,STO,1,0
2025-11-14,MNE,CHC,1,0
2025-11-14,BC,BU,1,0
2025-11-14,AMP,STM,1,0
2025-11-15,WIS,SCS,0.5,0.5
2025-11-15,BMJ,MIN,0,1
2025-11-15,MNS,OSU,0,1
2025-11-15,COL,COR,0,1
2025-11-15,MND,STT,1,0
2025-11-15,SYR,PSU,0,1
2025-11-15,NEU,MMC,1,0
2025-11-15,DAR,YAL,0,1
2025-11-15,HAR,BRN,0,1
2025-11-15,LIN,DEL,1,0
2025-11-15,RIT,MCY,1,0
2025-11-15,PVD,PRI,0,1
2025-11-15,LIU,STA,0,1
2025-11-15,UNH,UVM,0,1
2025-11-15,RPI,RMU,1,0
2025-11-15,AMP,STM,1,0
2025-11-15,MNE,CHC,0,1
2025-11-15,STO,FRP,0,1
2025-11-18,SHU,PST,0,1
2025-11-20,STT,WIS,0,1
2025-11-20,QPC,PRI,0,1
2025-11-21,STT,WIS,0,1
2025-11-21,MNS,MIN,1,0
2025-11-21,OSU,MND,1,0
2025-11-21,COR,UNI,0,1
2025-11-21,PSU,RIT,1,0
2025-11-21,NEU,MNE,1,0
2025-11-21,UVM,UC,0,1
2025-11-21,SCS,BMJ,1,0
2025-11-21,BRN,CLR,0,1
2025-11-21,COL,RPI,1,0
2025-11-21,YAL,SLU,1,0
2025-11-21,RMU,LIN,0.5,0.5
2025-11-21,PST,STO,1,0
2025-11-21,SHU,LIU,1,0
2025-11-21,STM,FRP,0,1
2025-11-21,PVD,BU,0,1
2025-11-21,UNH,CHC,0.5,0.5
2025-11-21,MCY,SYR,0.5,0.5
2025-11-21,STA,AMP,1,0
2025-11-22,MIN,MNS,0,1
2025-11-22,OSU,MND,1,0
2025-11-22,COR,RPI,1,0
2025-11-22,PSU,RIT,1,0
2025-11-22,PRI,QPC,1,0
2025-11-22,NEU,MNE,1,0
2025-11-22,UVM,UC,0,1
2025-11-22,SCS,BMJ,0,1
2025-11-22,YAL,CLR,0,1
2025-11-22,BRN,SLU,1,0
2025-11-22,COL,UNI,1,0
2025-11-22,RMU,LIN,1,0
2025-11-22,PST,STO,0,1
2025-11-22,LIU,SHU,1,0
2025-11-22,MMC,BC,0,1
2025-11-22,BU,PVD,0.5,0.5
2025-11-22,AMP,STA,0,1
2025-11-22,MCY,SYR,1,0
2025-11-22,STM,FRP,0,1
2025-11-22,CHC,UNH,1,0
2025-11-25,COR,SYR,0.5,0.5
2025-11-25,YAL,PRI,0,1
2025-11-28,CLR,OSU,0,1
2025-11-28,PSU,NEU,0,1
2025-11-28,COR,UVM,0,1
2025-11-28,UC,QPC,1,0
2025-11-28,SCS,COL,1,0
2025-11-28,DAR,MNS,0,1
2025-11-28,RMU,RIT,1,0
2025-11-28,MNE,HAR,1,0
2025-11-28,RPI,SYR,0,1
2025-11-28,BMJ,LIN,0,1
2025-11-28,SLU,BC,0,1
2025-11-28,STO,MCY,0,1
2025-11-28,DEL,UNI,0,1
2025-11-28,YAL,SHU,1,0
2025-11-29,MCY,WIS,0,1
2025-11-29,COL,OSU,0,1
2025-11-29,PSU,NEU,1,0
2025-11-29,COR,UVM,1,0
2025-11-29,SCS,CLR,0,1
2025-11-29,PVD,BRN,1,0
2025-11-29,DAR,MNS,0,1
2025-11-29,BMJ,LIN,0.5,0.5
2025-11-29,SLU,BC,1,0
2025-11-29,RMU,RIT,0,1
2025-11-29,DEL,UNI,0,1
2025-11-29,MNE,HAR,0,1
2025-11-29,QPC,SHU,1,0
2025-11-29,SYR,RPI,1,0
2025-11-29,AMP,CHC,0,1
2025-11-29,UC,YAL,1,0
2025-11-30,STO,WIS,0,1
2025-11-30,UNH,BRN,1,0
2025-11-30,AMP,MMC,0,1
2025-12-02,UNH,NEU,1,0
2025-12-02,PST,SHU,1,0
2025-12-02,BU,CHC,1,0
2025-12-03,STA,FRP,0,1
2025-12-04,CLR,SLU,0.5,0.5
2025-12-04,FRP,STA,0.5,0.5
2025-12-05,WIS,OSU,1,0
2025-12-05,MIN,STT,1,0
2025-12-05,MND,BMJ,1,0
2025-12-05,NEU,BC,1,0
2025-12-05,BU,UC,0.5,0.5
2025-12-05,QPC,COR,1,0
2025-12-05,PRI,COL,1,0
2025-12-05,SCS,MNS,1,0
2025-12-05,LIU,PST,1,0
2025-12-05,AMP,SHU,0.5,0.5
2025-12-05,CHC,UVM,1,0
2025-12-05,DEL,RIT,0,1
2025-12-05,UNI,HAR,0,1
2025-12-05,RPI,DAR,1,0
2025-12-05,LIN,MCY,0,1
2025-12-05,MMC,PVD,0,1
2025-12-05,MNE,UNH,1,0
2025-12-05,RMU,SYR,1,0
2025-12-05,STO,STM,1,0
2025-12-06,WIS,OSU,1,0
2025-12-06,STT,MIN,0,1
2025-12-06,MND,BMJ,1,0
2025-12-06,BC,NEU,0,1
2025-12-06,UC,BU,1,0
2025-12-06,PRI,COR,1,0
2025-12-06,QPC,COL,0,1
2025-12-06,SLU,CLR,0,1
2025-12-06,SCS,MNS,0,1
2025-12-06,YAL,BRN,0,1
2025-12-06,LIN,MCY,1,0
2025-12-06,PVD,MMC,1,0
2025-12-06,CHC,UVM,1,0
2025-12-06,MNE,UNH,0.5,0.5
2025-12-06,DEL,RIT,0,1
2025-12-06,RPI,HAR,1,0
2025-12-06,UNI,DAR,0.5,0.5
2025-12-06,STO,STM,1,0
2025-12-06,RMU,SYR,0.5,0.5
2025-12-06,PST,LIU,0,1
2025-12-06,SHU,AMP,0,1
2025-12-07,BRN,YAL,0,1
2025-12-12,STM,DAR,0,1
2025-12-12,LIU,RMU,0,1
2025-12-13,STA,DAR,0,1
2025-12-13,LIU,RMU,0,1
2025-12-30,COR,PSU,0,1
2025-12-30,MNE,BRN,1,0
2026-01-02,PSU,OSU,0,1
2026-01-02,MIN,SHU,1,0
2026-01-02,MND,HAR,0,1
2026-01-02,UC,PVD,1,0
2026-01-02,QPC,BU,0.5,0.5
2026-01-02,STO,PRI,0,1
2026-01-02,STM,CLR,0,1
2026-01-02,UNI,YAL,0,1
2026-01-02,MCY,LIN,1,0
2026-01-02,DEL,SYR,0,1
2026-01-02,RPI,BRN,0,1
2026-01-02,DAR,UVM,0,1
2026-01-03,PSU,OSU,0,1
2026-01-03,MIN,SHU,1,0
2026-01-03,QPC,MND,1,0
2026-01-03,PVD,UC,0,1
2026-01-03,STO,PRI,0,1
2026-01-03,STM,CLR,0,1
2026-01-03,COL,BC,1,0
2026-01-03,RPI,YAL,0,1
2026-01-03,MCY,LIN,1,0
2026-01-03,LIU,UNH,0,1
2026-01-03,HAR,BU,0,1
2026-01-03,DEL,SYR,0,1
2026-01-03,UNI,BRN,0,1
2026-01-03,UVM,DAR,1,0
2026-01-03,CHC,MNE,0,1
2026-01-03,BMJ,MMC,1,0
2026-01-04,LIU,UNH,0,1
2026-01-04,BMJ,MMC,0.5,0.5
2026-01-06,NEU,YAL,0,1
2026-01-08,RIT,DEL,1,0
2026-01-09,WIS,MND,0.5,0.5
2026-01-09,OSU,SCS,1,0
2026-01-09,MIN,MNS,1,0
2026-01-09,PSU,MCY,1,0
2026-01-09,UC,MNE,1,0
2026-01-09,NEU,PVD,1,0
2026-01-09,QPC,RPI,1,0
2026-01-09,PRI,UNI,1,0
2026-01-09,CLR,COR,0.5,0.5
2026-01-09,SLU,COL,0,1
2026-01-09,YAL,DAR,1,0
2026-01-09,AMP,PST,0,1
2026-01-09,RIT,DEL,1,0
2026-01-09,STM,LIU,0,1
2026-01-09,BRN,HAR,0,1
2026-01-09,STO,STA,1,0
2026-01-09,BC,CHC,0,1
2026-01-09,UVM,MMC,1,0
2026-01-09,BMJ,STT,0,1
2026-01-09,SHU,FRP,0,1
2026-01-09,SYR,RMU,1,0
2026-01-10,WIS,MND,1,0
2026-01-10,OSU,SCS,1,0
2026-01-10,MNS,MIN,0,1
2026-01-10,PSU,MCY,0,1
2026-01-10,UC,MNE,1,0
2026-01-10,QPC,UNI,1,0
2026-01-10,PRI,RPI,1,0
2026-01-10,SLU,COR,0,1
2026-01-10,CLR,COL,0,1
2026-01-10,YAL,HAR,1,0
2026-01-10,STA,STO,0,1
2026-01-10,STM,LIU,0,1
2026-01-10,BRN,DAR,0.5,0.5
2026-01-10,SYR,RMU,1,0
2026-01-10,BMJ,STT,0,1
2026-01-10,UVM,MMC,0.5,0.5
2026-01-10,BU,UNH,1,0
2026-01-10,PST,AMP,0,1
2026-01-10,SHU,FRP,0,1
2026-01-13,NEU,BU,,
2026-01-13,HAR,BC,,
2026-01-15,MMC,UC,,
2026-01-16,WIS,STT,,
2026-01-16,OSU,MNS,,
2026-01-16,MIN,BMJ,,
2026-01-16,PSU,SYR,,
2026-01-16,SCS,MND,,
2026-01-16,UC,MMC,,
2026-01-16,DAR,QPC,,
2026-01-16,HAR,PRI,,
2026-01-16,COR,BRN,,
2026-01-16,RPI,CLR,,
2026-01-16,COL,YAL,,
2026-01-16,PVD,BC,,
2026-01-16,STO,SHU,,
2026-01-16,AMP,LIU,,
2026-01-16,DEL,LIN,,
2026-01-16,UNI,SLU,,
2026-01-16,MCY,RIT,,
2026-01-16,MNE,UVM,,
2026-01-16,PST,FRP,,
2026-01-16,STA,STM,,
2026-01-17,WIS,STT,,
2026-01-17,OSU,MNS,,
2026-01-17,MIN,BMJ,,
2026-01-17,PSU,SYR,,
2026-01-17,SCS,MND,,
2026-01-17,NEU,UNH,,
2026-01-17,HAR,QPC,,
2026-01-17,DAR,PRI,,
2026-01-17,COR,YAL,,
2026-01-17,UNI,CLR,,
2026-01-17,COL,BRN,,
2026-01-17,DEL,LIN,,
2026-01-17,STO,SHU,,
2026-01-17,MNE,UVM,,
2026-01-17,AMP,LIU,,
2026-01-17,RPI,SLU,,
2026-01-17,MCY,RIT,,
2026-01-17,STA,STM,,
2026-01-17,PST,FRP,,
2026-01-17,CHC,BU,,
2026-01-19,PVD,YAL,,
2026-01-20,PSU,COR,,
2026-01-20,CLR,SLU,,
2026-01-23,STT,OSU,,
2026-01-23,MIN,SCS,,
2026-01-23,DEL,PSU,,
2026-01-23,MND,MNS,,
2026-01-23,COL,QPC,,
2026-01-23,COR,PRI,,
2026-01-23,CLR,DAR,,
2026-01-23,AMP,FRP,,
2026-01-23,MMC,MNE,,
2026-01-23,RMU,MCY,,
2026-01-23,LIN,SYR,,
2026-01-23,STA,SHU,,
2026-01-23,SLU,HAR,,
2026-01-23,PVD,CHC,,
2026-01-23,UVM,BU,,
2026-01-23,LIU,STO,,
2026-01-23,BC,UNH,,
2026-01-23,STM,PST,,
2026-01-24,BMJ,WIS,,
2026-01-24,STT,OSU,,
2026-01-24,SCS,MIN,,
2026-01-24,DEL,PSU,,
2026-01-24,MND,MNS,,
2026-01-24,NEU,UC,,
2026-01-24,COR,QPC,,
2026-01-24,COL,PRI,,
