ranking,team,abbr,conference,rating,rrwp
1,Wisconsin,WIS,WCHA,14923.68,0.9727
2,Ohio State,OSU,WCHA,7570.97,0.9493
3,Minnesota,MIN,WCHA,4317.39,0.9229
4,Penn State,PSU,AHA,1917.1,0.87
5,Minnesota-Duluth,MND,WCHA,1326.56,0.839
6,UConn,UC,HEA,858.2,0.7958
7,Northeastern,NEU,HEA,716.86,0.7758
8,Minnesota State,MNS,WCHA,691.92,0.7717
9,Princeton,PRI,ECAC,659.53,0.7661
10,Quinnipiac,QPC,ECAC,488.77,0.7291
11,St. Cloud State,SCS,WCHA,330.62,0.6759
12,Clarkson,CLR,ECAC,310.57,0.6669
13,Cornell,COR,ECAC,245.15,0.6321
14,St. Thomas,STT,WCHA,220.46,0.616
15,Yale,YAL,ECAC,202.5,0.603
16,Boston College,BC,HEA,184.78,0.5888
17,Colgate,COL,ECAC,170.98,0.5767
18,Brown,BRN,ECAC,157.51,0.5638
19,Mercyhurst,MCY,AHA,155.72,0.562
20,Harvard,HAR,ECAC,139.71,0.5449
21,Holy Cross,CHC,HEA,137.78,0.5427
22,Bemidji State,BMJ,WCHA,127.65,0.5306
23,Maine,MNE,HEA,124.31,0.5264
24,Providence,PVD,HEA,122.59,0.5242
25,Boston University,BU,HEA,108.86,0.5054
26,St. Lawrence,SLU,ECAC,96.29,0.4861
27,Vermont,UVM,HEA,95.97,0.4856
28,New Hampshire,UNH,HEA,94.3,0.4828
29,Rochester,RIT,AHA,67.54,0.43120000000000003
30,Syracuse,SYR,AHA,55.98,0.403
31,Union,UNI,ECAC,46.53,0.3761
32,Robert Morris,RMU,AHA,38.14,0.3482
33,Dartmouth,DAR,ECAC,37.28,0.3451
34,Lindenwood,LIN,AHA,34.45,0.3344
35,Rensselaer,RPI,ECAC,28.61,0.3099
36,Merrimack,MMC,HEA,20.41,0.2683
37,St. Anselm,STA,NEWHA,14.05,0.2265
38,Franklin Pierce,FRP,NEWHA,11.02,0.2016
39,Assumption,AMP,NEWHA,6.65,0.1553
40,Stonehill,STO,NEWHA,6.57,0.1542
41,Delaware,DEL,AHA,3.82,0.1126
42,Long Island,LIU,NEWHA,3.72,0.1108
43,Post,PST,NEWHA,3.69,0.1103
44,Sacred Heart,SHU,NEWHA,2.7,0.0902
45,Saint Michael's,STM,NEWHA,0.39,0.0163
